customer_id,region,usage_type,daily_usage_liters,system_uptime_percent,reduction_percent,days_since_maintenance,complaint_count,maintenance_urgency,cluster_label,cluster_description,recommendation,install_month
CUST_15,Mumbai,Residential,3766,95.33,47.01,16,4,0.17,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_16,Pune,Agricultural,1388,82.97,72.33,96,3,1.16,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-06
CUST_17,Pune,Agricultural,589,94.86,49.41,86,0,0.91,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-01
CUST_18,Pune,Residential,2723,94.69,94.79,71,3,0.75,Efficient User,Customer with strong uptime and excellent water quality,Offer loyalty upgrade,2024-04
CUST_19,Pune,Residential,1068,75.67,89.86,9,4,0.12,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-06
CUST_20,Mumbai,Agricultural,2814,91.03,46.05,64,0,0.7,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-01
CUST_21,Mumbai,Agricultural,3584,78.72,87.93,57,5,0.72,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-01
CUST_22,Pune,Agricultural,3519,78.92,90.97,56,2,0.71,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-06
CUST_23,Pune,Agricultural,3944,78.89,62.68,82,4,1.04,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_24,Mumbai,Residential,770,91.77,80.98,52,5,0.57,Efficient User,Customer with strong uptime and excellent water quality,Offer loyalty upgrade,2024-02
CUST_25,Mumbai,Residential,2496,76.89,67.11,94,3,1.22,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
CUST_26,Mumbai,Industrial,387,70.03,77.76,23,5,0.33,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-01
CUST_27,Nashik,Agricultural,3695,91.46,62.02,109,3,1.19,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
CUST_28,Nashik,Industrial,2743,75.14,61.13,21,4,0.28,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_29,Nashik,Residential,1089,73.13,66.22,58,1,0.79,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_30,Pune,Residential,3775,77.13,52.28,107,2,1.39,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-05
CUST_31,Nashik,Industrial,3453,81.4,86.56,110,5,1.35,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_32,Pune,Agricultural,1964,84.28,62.43,72,5,0.85,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-04
CUST_33,Pune,Agricultural,1609,71.34,65.01,110,4,1.54,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_34,Nashik,Agricultural,3753,99.12,89.7,39,4,0.39,Efficient User,Customer with strong uptime and excellent water quality,Offer loyalty upgrade,2024-05
CUST_35,Pune,Agricultural,1164,91.48,69.83,92,3,1.01,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-01
CUST_36,Nashik,Industrial,1593,79.7,72.21,45,0,0.56,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_37,Nashik,Industrial,3663,79.56,92.82,17,0,0.21,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-06
CUST_38,Mumbai,Residential,3824,83.46,89.34,37,0,0.44,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_39,Nashik,Agricultural,323,88.79,53.47,19,3,0.21,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-04
CUST_40,Mumbai,Agricultural,3303,74.39,68.66,67,0,0.9,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_41,Nashik,Agricultural,2186,75.67,93.56,19,4,0.25,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-05
CUST_42,Nashik,Industrial,610,95.78,63.62,35,1,0.37,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-04
CUST_43,Mumbai,Agricultural,1784,77.69,63.58,111,1,1.43,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_44,Mumbai,Industrial,1531,81.41,54.75,32,1,0.39,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-04
CUST_45,Nashik,Agricultural,3011,96.14,50.72,14,0,0.15,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_46,Pune,Agricultural,2785,89.89,82.02,61,1,0.68,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_47,Mumbai,Residential,3909,80.25,83.5,75,5,0.93,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-01
CUST_48,Pune,Agricultural,1005,90.51,93.45,37,0,0.41,Efficient User,Customer with strong uptime and excellent water quality,Offer loyalty upgrade,2024-05
CUST_49,Pune,Agricultural,1659,70.59,83.67,11,5,0.16,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-01
CUST_50,Pune,Residential,721,92.07,57.17,9,4,0.1,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-03
CUST_51,Mumbai,Industrial,2073,84.61,47.01,94,5,1.11,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-06
CUST_52,Pune,Industrial,2668,94.4,94.27,84,4,0.89,Efficient User,Customer with strong uptime and excellent water quality,Offer loyalty upgrade,2024-06
CUST_53,Mumbai,Agricultural,3868,98.64,62.02,61,3,0.62,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_54,Pune,Industrial,2934,97.77,60.6,76,3,0.78,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_55,Nashik,Agricultural,1246,97.28,90.3,90,5,0.93,Efficient User,Customer with strong uptime and excellent water quality,Offer loyalty upgrade,2024-01
CUST_56,Nashik,Residential,1486,85.37,74.25,102,2,1.19,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
CUST_57,Mumbai,Residential,2134,80.8,55.74,44,4,0.54,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-03
CUST_58,Nashik,Agricultural,1864,83.95,89.45,32,0,0.38,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-03
CUST_59,Nashik,Residential,3536,90.7,94.67,114,2,1.26,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_60,Pune,Residential,1148,96.52,49.33,40,4,0.41,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_61,Mumbai,Agricultural,1889,76.21,88.11,60,0,0.79,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-05
CUST_62,Pune,Agricultural,1618,97.55,64.53,51,4,0.52,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_63,Pune,Residential,2389,94.46,71.2,75,4,0.79,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_64,Pune,Industrial,2247,99.37,90.74,44,0,0.44,Efficient User,Customer with strong uptime and excellent water quality,Offer loyalty upgrade,2024-05
CUST_65,Pune,Industrial,1608,96.41,93.67,63,4,0.65,Efficient User,Customer with strong uptime and excellent water quality,Offer loyalty upgrade,2024-04
CUST_66,Pune,Agricultural,3286,78.4,58.11,47,4,0.6,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-05
CUST_67,Pune,Agricultural,686,73.18,55.64,96,4,1.31,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-01
CUST_68,Pune,Industrial,2335,73.37,49.03,70,3,0.95,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
CUST_69,Mumbai,Residential,1461,78.74,73.09,13,1,0.17,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_70,Nashik,Industrial,3558,88.43,45.68,10,4,0.11,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-04
CUST_71,Pune,Industrial,2325,94.13,65.59,69,0,0.73,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_72,Pune,Industrial,3257,96.98,48.67,7,5,0.07,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_73,Pune,Industrial,1015,88.71,65.26,78,4,0.88,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-03
CUST_74,Pune,Agricultural,2778,70.17,47.0,41,3,0.58,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-01
CUST_75,Pune,Agricultural,2901,75.59,86.76,112,3,1.48,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
CUST_76,Pune,Residential,3787,72.99,55.49,91,5,1.25,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_77,Nashik,Residential,3147,80.9,61.42,37,4,0.46,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-03
CUST_78,Nashik,Residential,725,85.04,88.5,13,2,0.15,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-01
CUST_79,Pune,Residential,1739,71.3,82.31,57,5,0.8,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-01
CUST_80,Nashik,Industrial,2373,80.45,55.95,81,1,1.01,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-01
CUST_81,Mumbai,Agricultural,3742,75.38,48.59,96,0,1.27,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_82,Pune,Agricultural,684,89.41,80.78,55,0,0.62,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-04
CUST_83,Mumbai,Residential,355,83.93,64.54,75,0,0.89,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-02
CUST_84,Mumbai,Residential,3624,84.86,83.3,30,0,0.35,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-03
CUST_85,Pune,Industrial,2981,82.83,67.26,20,3,0.24,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_86,Nashik,Industrial,405,98.68,62.3,44,1,0.45,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_87,Mumbai,Residential,3501,76.44,67.56,94,4,1.23,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_88,Pune,Agricultural,3196,85.5,82.43,55,4,0.64,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_89,Mumbai,Agricultural,969,92.08,90.11,43,2,0.47,Efficient User,Customer with strong uptime and excellent water quality,Offer loyalty upgrade,2024-05
CUST_90,Mumbai,Agricultural,675,86.71,47.49,59,4,0.68,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-02
CUST_91,Mumbai,Residential,1042,97.87,71.21,100,1,1.02,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
CUST_92,Mumbai,Agricultural,1266,81.34,46.64,40,4,0.49,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_93,Nashik,Industrial,607,83.91,68.42,110,3,1.31,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-05
CUST_94,Mumbai,Industrial,2438,72.66,89.26,69,5,0.95,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_95,Mumbai,Residential,3764,88.27,63.08,117,4,1.33,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_96,Mumbai,Industrial,3905,78.65,91.62,89,0,1.13,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_97,Nashik,Residential,1101,74.81,76.53,81,0,1.08,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-06
CUST_98,Mumbai,Agricultural,409,86.34,91.71,119,5,1.38,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-06
CUST_99,Mumbai,Agricultural,3932,85.97,82.86,94,0,1.09,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-05
CUST_100,Nashik,Agricultural,1964,72.28,50.17,49,0,0.68,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_101,Nashik,Industrial,2932,90.95,56.56,13,3,0.14,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_102,Nashik,Residential,639,88.71,64.71,41,3,0.46,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_103,Mumbai,Agricultural,1888,75.67,53.51,91,3,1.2,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_104,Nashik,Residential,1278,84.08,69.75,5,4,0.06,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-02
CUST_105,Nashik,Agricultural,2703,91.61,68.57,70,5,0.76,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_106,Mumbai,Industrial,2215,85.88,92.81,67,0,0.78,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_107,Nashik,Industrial,467,81.86,66.69,47,2,0.57,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-04
CUST_108,Mumbai,Residential,856,79.67,84.28,32,5,0.4,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-01
CUST_109,Pune,Industrial,3823,88.31,92.1,104,2,1.18,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-01
CUST_110,Nashik,Industrial,1204,98.17,88.85,35,0,0.36,Efficient User,Customer with strong uptime and excellent water quality,Offer loyalty upgrade,2024-06
CUST_111,Pune,Residential,404,90.15,55.43,109,1,1.21,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
CUST_112,Mumbai,Agricultural,2347,72.24,69.8,73,5,1.01,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_113,Nashik,Industrial,2497,83.82,62.39,105,4,1.25,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
CUST_114,Mumbai,Residential,445,96.72,64.99,93,2,0.96,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_115,Pune,Industrial,3063,72.83,63.04,12,5,0.16,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_116,Mumbai,Industrial,1173,99.67,86.32,38,5,0.38,Efficient User,Customer with strong uptime and excellent water quality,Offer loyalty upgrade,2024-05
CUST_117,Nashik,Industrial,598,98.47,67.61,107,3,1.09,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_118,Nashik,Industrial,3538,72.35,71.18,53,1,0.73,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_119,Pune,Residential,2036,98.0,94.12,100,3,1.02,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
CUST_120,Mumbai,Residential,945,80.89,48.0,62,1,0.77,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-04
CUST_121,Nashik,Residential,3070,95.34,69.4,79,1,0.83,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-03
CUST_122,Pune,Industrial,3419,82.55,83.7,51,4,0.62,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_123,Nashik,Industrial,937,83.23,52.56,29,5,0.35,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-04
CUST_124,Nashik,Industrial,2586,89.03,75.58,7,3,0.08,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-01
CUST_125,Mumbai,Residential,3378,93.23,56.97,49,3,0.53,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-03
CUST_126,Nashik,Industrial,2811,71.01,88.37,118,2,1.66,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-05
CUST_127,Mumbai,Agricultural,2800,87.79,61.35,56,5,0.64,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_128,Nashik,Industrial,1083,75.6,61.45,100,0,1.32,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_129,Pune,Agricultural,1196,80.38,74.91,103,0,1.28,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-05
CUST_130,Nashik,Industrial,670,80.44,54.18,100,2,1.24,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-05
CUST_131,Mumbai,Residential,3920,84.07,59.24,38,1,0.45,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-03
CUST_132,Mumbai,Industrial,786,80.02,65.83,105,2,1.31,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_133,Pune,Agricultural,3582,73.22,62.68,73,2,1.0,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
CUST_134,Nashik,Agricultural,2337,74.37,71.24,113,3,1.52,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_135,Nashik,Industrial,2512,71.0,74.98,96,2,1.35,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-05
CUST_136,Pune,Agricultural,3496,84.11,73.33,96,1,1.14,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_137,Nashik,Agricultural,1660,98.63,77.71,12,0,0.12,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_138,Nashik,Residential,491,73.47,60.39,31,4,0.42,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_139,Mumbai,Industrial,1029,98.39,51.32,84,5,0.85,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-02
CUST_140,Nashik,Industrial,2561,92.0,83.04,67,2,0.73,Efficient User,Customer with strong uptime and excellent water quality,Offer loyalty upgrade,2024-04
CUST_141,Nashik,Industrial,2921,89.12,87.54,86,5,0.96,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-02
CUST_142,Pune,Agricultural,3699,89.36,57.85,29,2,0.32,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-03
CUST_143,Pune,Industrial,1256,94.8,65.35,62,5,0.65,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-02
CUST_144,Mumbai,Industrial,680,73.21,69.93,52,3,0.71,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
CUST_145,Nashik,Residential,3020,85.14,71.67,5,3,0.06,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-04
CUST_146,Nashik,Residential,3949,90.91,77.97,12,5,0.13,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-03
CUST_147,Nashik,Residential,1097,87.6,47.08,25,2,0.29,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_148,Mumbai,Agricultural,538,94.98,81.07,102,2,1.07,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-06
CUST_149,Mumbai,Industrial,3903,72.17,48.1,92,1,1.27,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_150,Pune,Residential,3047,90.72,68.41,105,0,1.16,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_151,Mumbai,Residential,1405,86.02,86.38,94,0,1.09,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-06
CUST_152,Nashik,Residential,1686,81.37,67.56,115,4,1.41,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-01
CUST_153,Nashik,Industrial,2852,80.21,52.45,82,0,1.02,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-06
CUST_154,Mumbai,Industrial,2549,88.62,94.25,33,4,0.37,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-04
CUST_155,Nashik,Industrial,3267,96.73,89.46,34,3,0.35,Efficient User,Customer with strong uptime and excellent water quality,Offer loyalty upgrade,2024-06
CUST_156,Nashik,Agricultural,1827,84.89,83.57,7,4,0.08,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-06
CUST_157,Mumbai,Agricultural,1967,94.74,65.58,11,4,0.12,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_158,Mumbai,Residential,336,82.06,54.19,104,0,1.27,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
CUST_159,Nashik,Industrial,2991,73.07,92.07,15,2,0.21,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-06
CUST_160,Nashik,Residential,3960,71.85,71.62,36,3,0.5,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_161,Nashik,Industrial,3972,71.54,87.62,63,1,0.88,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_162,Pune,Industrial,2296,81.4,62.1,16,4,0.2,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_163,Pune,Industrial,1725,80.12,61.76,83,4,1.04,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-06
CUST_164,Pune,Agricultural,3112,91.54,94.28,42,5,0.46,Efficient User,Customer with strong uptime and excellent water quality,Offer loyalty upgrade,2024-06
CUST_165,Mumbai,Agricultural,3053,92.28,71.09,28,4,0.3,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_166,Pune,Industrial,3547,71.53,52.03,69,2,0.96,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_167,Mumbai,Residential,2892,76.63,55.98,22,1,0.29,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-01
CUST_168,Mumbai,Industrial,3941,78.23,69.1,50,5,0.64,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-01
CUST_169,Pune,Industrial,1790,86.43,47.12,60,0,0.69,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-03
CUST_170,Pune,Residential,1524,74.34,68.13,67,3,0.9,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_171,Pune,Industrial,2887,74.02,65.95,11,2,0.15,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_172,Nashik,Residential,3918,98.31,83.97,110,1,1.12,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-02
CUST_173,Pune,Agricultural,3364,94.13,62.75,109,3,1.16,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-04
CUST_174,Nashik,Agricultural,2322,75.42,94.13,70,0,0.93,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-05
CUST_175,Mumbai,Residential,2741,82.2,54.04,44,3,0.54,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-03
CUST_176,Nashik,Agricultural,1132,80.67,74.55,58,5,0.72,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-05
CUST_177,Pune,Agricultural,3413,93.73,49.48,35,4,0.37,Low Performer,Customer with average performance and low efficiency,Suggest usage optimization or upgrade,2024-02
CUST_178,Mumbai,Residential,896,85.31,81.69,101,4,1.18,Maintenance Risk,Customer with poor uptime and delayed maintenance,Schedule urgent maintenance,2024-03
